,trade_date
1095,20190712
1096,20190711
1097,20190710
1098,20190709
1099,20190708
1100,20190705
1101,20190704
1102,20190703
1103,20190702
1104,20190701
1105,20190628
1106,20190627
1107,20190626
1108,20190625
1109,20190624
1110,20190621
1111,20190620
1112,20190619
1113,20190618
1114,20190617
1115,20190614
1116,20190613
1117,20190612
1118,20190611
1119,20190610
1120,20190606
1121,20190605
1122,20190604
1123,20190603
1124,20190531
1125,20190530
1126,20190529
1127,20190528
1128,20190527
1129,20190524
1130,20190523
1131,20190522
1132,20190521
1133,20190520
1134,20190517
1135,20190516
1136,20190515
1137,20190514
1138,20190513
1139,20190510
1140,20190509
1141,20190508
1142,20190507
1143,20190506
1144,20190430
1145,20190429
1146,20190426
1147,20190425
1148,20190424
1149,20190423
1150,20190422
1151,20190419
1152,20190418
1153,20190417
1154,20190416
1155,20190415
1156,20190412
1157,20190411
1158,20190410
1159,20190409
1160,20190408
1161,20190404
1162,20190403
1163,20190402
1164,20190401
1165,20190329
1166,20190328
1167,20190327
1168,20190326
1169,20190325
1170,20190322
1171,20190321
1172,20190320
1173,20190319
1174,20190318
1175,20190315
1176,20190314
1177,20190313
1178,20190312
1179,20190311
1180,20190308
1181,20190307
1182,20190306
1183,20190305
1184,20190304
1185,20190301
1186,20190228
1187,20190227
1188,20190226
1189,20190225
1190,20190222
1191,20190221
1192,20190220
1193,20190219
1194,20190218
1195,20190215
1196,20190214
1197,20190213
1198,20190212
1199,20190211
1200,20190201
1201,20190131
1202,20190130
1203,20190129
1204,20190128
1205,20190125
1206,20190124
1207,20190123
1208,20190122
1209,20190121
1210,20190118
1211,20190117
1212,20190116
1213,20190115
1214,20190114
1215,20190111
1216,20190110
1217,20190109
1218,20190108
1219,20190107
1220,20190104
1221,20190103
1222,20190102
1223,20181228
1224,20181227
1225,20181226
1226,20181225
1227,20181224
1228,20181221
1229,20181220
1230,20181219
1231,20181218
1232,20181217
1233,20181214
1234,20181213
1235,20181212
1236,20181211
1237,20181210
1238,20181207
1239,20181206
1240,20181205
1241,20181204
1242,20181203
1243,20181130
1244,20181129
1245,20181128
1246,20181127
1247,20181126
1248,20181123
1249,20181122
1250,20181121
1251,20181120
1252,20181119
1253,20181116
1254,20181115
1255,20181114
1256,20181113
1257,20181112
1258,20181109
1259,20181108
1260,20181107
1261,20181106
1262,20181105
1263,20181102
1264,20181101
1265,20181031
1266,20181030
1267,20181029
1268,20181026
1269,20181025
1270,20181024
1271,20181023
1272,20181022
1273,20181019
1274,20181018
1275,20181017
1276,20181016
1277,20181015
1278,20181012
1279,20181011
1280,20181010
1281,20181009
1282,20181008
1283,20180928
1284,20180927
1285,20180926
1286,20180925
1287,20180921
1288,20180920
1289,20180919
1290,20180918
1291,20180917
1292,20180914
1293,20180913
1294,20180912
1295,20180911
1296,20180910
1297,20180907
1298,20180906
1299,20180905
1300,20180904
1301,20180903
1302,20180831
1303,20180830
1304,20180829
1305,20180828
1306,20180827
1307,20180824
1308,20180823
1309,20180822
1310,20180821
1311,20180820
1312,20180817
1313,20180816
1314,20180815
1315,20180814
1316,20180813
1317,20180810
1318,20180809
1319,20180808
1320,20180807
1321,20180806
1322,20180803
1323,20180802
1324,20180801
1325,20180731
1326,20180730
1327,20180727
1328,20180726
1329,20180725
1330,20180724
1331,20180723
1332,20180720
1333,20180719
1334,20180718
1335,20180717
1336,20180716
1337,20180713
1338,20180712
1339,20180711
1340,20180710
1341,20180709
1342,20180706
1343,20180705
1344,20180704
1345,20180703
1346,20180702
1347,20180629
1348,20180628
1349,20180627
1350,20180626
1351,20180625
1352,20180622
1353,20180621
1354,20180620
1355,20180619
1356,20180615
1357,20180614
1358,20180613
1359,20180612
1360,20180611
1361,20180608
1362,20180607
1363,20180606
1364,20180605
1365,20180604
1366,20180601
1367,20180531
1368,20180530
1369,20180529
1370,20180528
1371,20180525
1372,20180524
1373,20180523
1374,20180522
1375,20180521
1376,20180518
1377,20180517
1378,20180516
1379,20180515
1380,20180514
1381,20180511
1382,20180510
1383,20180509
1384,20180508
1385,20180507
1386,20180504
1387,20180503
1388,20180502
1389,20180427
1390,20180426
1391,20180425
1392,20180424
1393,20180423
1394,20180420
1395,20180419
1396,20180418
1397,20180417
1398,20180416
1399,20180413
1400,20180412
1401,20180411
1402,20180410
1403,20180409
1404,20180404
1405,20180403
1406,20180402
1407,20180330
1408,20180329
1409,20180328
1410,20180327
1411,20180326
1412,20180323
1413,20180322
1414,20180321
1415,20180320
1416,20180319
1417,20180316
1418,20180315
1419,20180314
1420,20180313
1421,20180312
1422,20180309
1423,20180308
1424,20180307
1425,20180306
1426,20180305
1427,20180302
1428,20180301
1429,20180228
1430,20180227
1431,20180226
1432,20180223
1433,20180222
1434,20180214
1435,20180213
1436,20180212
1437,20180209
1438,20180208
1439,20180207
1440,20180206
1441,20180205
1442,20180202
1443,20180201
1444,20180124
1445,20180123
1446,20180122
1447,20180119
1448,20180118
1449,20180117
1450,20180116
1451,20180115
1452,20180112
1453,20180111
1454,20180110
1455,20180109
1456,20180108
1457,20180105
1458,20180104
1459,20180103
1460,20180102
1461,20171229
1462,20171228
1463,20171227
1464,20171226
1465,20171225
1466,20171222
1467,20171221
1468,20171220
1469,20171219
1470,20171218
1471,20171215
1472,20171214
1473,20171213
1474,20171212
1475,20171211
1476,20171208
1477,20171207
1478,20171206
1479,20171205
1480,20171204
1481,20171201
1482,20171130
1483,20171129
1484,20171128
1485,20171127
1486,20171124
1487,20171123
1488,20171122
1489,20171121
1490,20171120
1491,20171117
1492,20171116
1493,20171115
1494,20171114
1495,20171113
1496,20171110
1497,20171109
1498,20161219
1499,20161216
1500,20161215
1501,20161214
1502,20161213
1503,20161212
1504,20161209
1505,20161208
1506,20161207
1507,20161206
1508,20161205
1509,20161202
1510,20161201
1511,20161130
1512,20161129
1513,20161128
1514,20161125
1515,20161124
1516,20161123
1517,20161122
1518,20161121
1519,20161118
1520,20161117
1521,20161116
1522,20161115
1523,20161114
1524,20161111
1525,20161110
1526,20161109
1527,20161108
1528,20161107
1529,20161104
1530,20161103
1531,20161102
1532,20161101
1533,20161031
1534,20161028
1535,20161027
1536,20161026
1537,20161025
1538,20161024
1539,20161021
1540,20161020
1541,20161019
1542,20161018
1543,20161017
1544,20161014
1545,20161013
1546,20161012
1547,20161011
1548,20161010
1549,20160930
1550,20160929
1551,20160928
1552,20160927
1553,20160926
1554,20160923
1555,20160922
1556,20160921
1557,20160920
1558,20160919
1559,20160914
1560,20160913
1561,20160912
1562,20160909
1563,20160908
1564,20160907
1565,20160906
1566,20160905
1567,20160902
1568,20160901
1569,20160831
1570,20160830
1571,20160829
1572,20160826
1573,20160825
1574,20160824
1575,20160823
1576,20160822
1577,20160819
1578,20160818
1579,20160817
1580,20160816
1581,20160815
1582,20160812
1583,20160811
1584,20160810
1585,20160809
1586,20160808
1587,20160805
1588,20160804
1589,20160803
1590,20160802
1591,20160801
1592,20160729
1593,20160728
1594,20160727
1595,20160726
1596,20160725
1597,20160722
1598,20160721
1599,20160720
1600,20160719
1601,20160718
1602,20160715
1603,20160714
1604,20160713
1605,20160712
1606,20160711
1607,20160708
1608,20160707
1609,20160706
1610,20160705
1611,20160704
1612,20160701
1613,20160630
1614,20160629
1615,20160628
1616,20160627
1617,20160624
1618,20160623
1619,20160622
1620,20160621
1621,20160620
1622,20160617
1623,20160616
1624,20160615
1625,20160614
1626,20160613
1627,20160608
1628,20160607
1629,20160606
1630,20160603
1631,20160602
1632,20160601
1633,20160531
1634,20160530
1635,20160527
1636,20160526
1637,20160525
1638,20160524
1639,20160523
1640,20160520
1641,20160519
1642,20160518
1643,20160517
1644,20160516
1645,20160513
1646,20160512
1647,20160511
1648,20160510
1649,20160509
1650,20160506
1651,20160505
1652,20160504
1653,20160503
1654,20160429
1655,20160428
1656,20160427
1657,20160426
1658,20160425
1659,20160422
1660,20160421
1661,20160420
1662,20160419
1663,20160418
1664,20160415
1665,20160414
1666,20160413
1667,20160412
1668,20160411
1669,20160408
1670,20160407
1671,20160406
1672,20160405
1673,20160401
1674,20160331
1675,20160330
1676,20160329
1677,20160328
1678,20160325
1679,20160324
1680,20160323
1681,20160322
1682,20160321
1683,20160318
1684,20160317
1685,20160316
1686,20160315
1687,20160314
1688,20160311
1689,20160310
1690,20160309
1691,20160308
1692,20160307
1693,20160304
1694,20160303
1695,20160302
1696,20160301
1697,20160229
1698,20160226
1699,20160225
1700,20160224
1701,20160223
1702,20160222
1703,20160219
1704,20160218
1705,20160217
1706,20160216
1707,20160215
1708,20160205
1709,20160204
1710,20160203
1711,20160202
1712,20160201
1713,20160129
1714,20160128
1715,20160127
1716,20160126
1717,20160125
1718,20160122
1719,20160121
1720,20160120
1721,20160119
1722,20160118
1723,20160115
1724,20160114
1725,20160113
1726,20160112
1727,20160111
1728,20160108
1729,20160107
1730,20160106
1731,20160105
1732,20160104
1733,20151231
1734,20151230
1735,20151229
1736,20151228
1737,20151225
1738,20151224
1739,20151223
1740,20151222
1741,20151221
1742,20151218
1743,20151217
1744,20151216
1745,20151215
1746,20151214
1747,20151210
1748,20151209
1749,20151208
1750,20151207
1751,20151204
1752,20151203
1753,20151202
1754,20151201
1755,20151130
1756,20151127
1757,20151126
1758,20151125
1759,20151124
1760,20151123
1761,20151120
1762,20151119
1763,20151118
1764,20151117
1765,20151116
1766,20151113
1767,20151112
1768,20151111
1769,20151110
1770,20151109
1771,20151106
1772,20151105
1773,20151104
1774,20151103
1775,20151102
1776,20151030
1777,20151029
1778,20151028
1779,20151027
1780,20151026
1781,20151023
1782,20151022
1783,20151021
1784,20151020
1785,20151019
1786,20151016
1787,20151015
1788,20151014
1789,20151013
1790,20151012
1791,20151009
1792,20151008
1793,20150930
1794,20150929
1795,20150928
1796,20150925
1797,20150924
1798,20150923
1799,20150922
1800,20150921
1801,20150918
1802,20150917
1803,20150916
1804,20150915
1805,20150914
1806,20150911
1807,20150910
1808,20150909
1809,20150908
1810,20150907
1811,20150902
1812,20150901
1813,20150831
1814,20150828
1815,20150827
1816,20150826
1817,20150825
1818,20150824
1819,20150821
1820,20150820
1821,20150819
1822,20150818
1823,20150817
1824,20150814
1825,20150813
1826,20150812
1827,20150811
1828,20150810
1829,20150807
1830,20150806
1831,20150805
1832,20150804
1833,20150803
1834,20150731
1835,20150730
1836,20150729
1837,20150728
1838,20150727
1839,20150724
1840,20150723
1841,20150722
1842,20150721
1843,20150720
1844,20150717
1845,20150716
1846,20150715
1847,20150714
1848,20150713
1849,20150710
1850,20150709
1851,20150708
1852,20150707
1853,20150706
1854,20150703
1855,20150702
1856,20150701
1857,20150630
1858,20150629
